area_type,availability,size,society,total_sqft,bath,balcony,site_location,price
Plot  Area,Ready To Move,4 Bedroom,,1200,4,3,Jangali Maharaj Road,165
Super built-up  Area,Ready To Move,3 BHK,PhestOn,2390,3,2,Kalyani Nagar,415
Plot  Area,Ready To Move,4 Bedroom,,2400,4,1,Karve Nagar,400
Super built-up  Area,Ready To Move,3 BHK,NRowse ,1464,3,2,Karve Road,56
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,Kasba Peth,55
Super built-up  Area,Ready To Move,2 BHK,Abncy R,1200,2,2,Katraj,52
Super built-up  Area,Ready To Move,3 BHK,Baowsig,1150,2,1,Khadaki,55
Built-up  Area,Ready To Move,3 BHK,Itala A,1645,3,2,Khadki,95
Super built-up  Area,20-Mar,2 BHK,,1000,2,1,Kharadi,67
Plot  Area,Ready To Move,4 Bedroom,,2650,4,2,Kondhwa,198
Super built-up  Area,Ready To Move,2 BHK,HMinebo,1192,2,2,Kondhwa Budruk,74
Super built-up  Area,Ready To Move,3 BHK,K borja,2135,3,2,Kondhwa Khurd,215
Super built-up  Area,19-Dec,2 BHK,Oreldhi,1173,2,1,Koregaon Park,58
Built-up  Area,Ready To Move,2 BHK,Sungspr,1020,2,2,Kothrud,45
Super built-up  Area,Ready To Move,4 BHK,Prtanha,3122,6,2,Law College Road,230
Super built-up  Area,Ready To Move,3 BHK,,1600,3,3,Laxmi Road,64
Plot  Area,18-Mar,2 Bedroom,,1200,2,0,Lulla Nagar,79
Carpet  Area,Ready To Move,2 BHK,,1230,2,3,Mahatma Gandhi Road,48
Super built-up  Area,Ready To Move,2 BHK,Clntsrt,1250,2,2,Mangalwar peth,40
Super built-up  Area,Ready To Move,2 BHK,PuamaPa,1325,2,2,Manik Bagh,76
Built-up  Area,Ready To Move,3 BHK,Brngsal,1850,3,1,Market yard,150
Super built-up  Area,21-Dec,1 BHK,PrarePa,525,,,Model colony,21.53
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,Mukund Nagar,65
Plot  Area,Ready To Move,3 Bedroom,,1350,2,0,Mundhawa,140
Super built-up  Area,18-Jun,3 BHK,SSestth,1260,3,1,Nagar Road,49.36
Super built-up  Area,Ready To Move,3 BHK,Vancy R,1800,3,0,Nana Peth,150
Plot  Area,18-Dec,3 Bedroom,PrhyaK ,11,3,2,Narayan Peth,74
Built-up  Area,Ready To Move,2 BHK,Miwel M,1100,2,1,Narayangaon,43.25
Super built-up  Area,Ready To Move,2 BHK,SrEndPo,1508,2,1,Navi Peth,77
Carpet  Area,Ready To Move,3 BHK,Puens G,1592,3,2,Padmavati,75
Super built-up  Area,Ready To Move,2 BHK,SagasSa,1388,2,3,Parvati Darshan,57
Super built-up  Area,18-May,1 BHK,SNbay G,630,1,1,Pashan,28.35
Plot  Area,Ready To Move,3 Bedroom,,2000,3,2,Paud Road,365
Super built-up  Area,Ready To Move,3 BHK,,1762,3,1,Pirangut,125
Super built-up  Area,21-Dec,2 BHK,,950,2,2,Prabhat Road,50
Super built-up  Area,Ready To Move,4 BHK,Soianal,3252,5,3,Pune Railway Station,335
Super built-up  Area,18-Aug,2 BHK,Vrenty ,1116,2,1,Rasta Peth,50
Super built-up  Area,Ready To Move,2 BHK,AriosHe,1308,2,2,Raviwar Peth,89.04
Super built-up  Area,Ready To Move,3 BHK,,1200,3,0,Sadashiv Peth,90
Plot  Area,Ready To Move,4 Bedroom,,1500,4,2,Sahakar Nagar,230
Built-up  Area,Ready To Move,1 BHK,,500,1,1,Salunke Vihar,18.5
Super built-up  Area,Ready To Move,2 BHK,SLureSi,1075,2,1,Sasson Road,52
Super built-up  Area,18-Mar,1 BHK,Siissi ,530,1,0,Satara Road,11.66
Built-up  Area,Ready To Move,2 BHK,,1205,2,3,Senapati Bapat Road,66
Super built-up  Area,Ready To Move,2 BHK,Mangsr ,1075,2,2,Shaniwar Peth,60
Built-up  Area,Ready To Move,2 BHK,HovasTe,930,2,2,Shivaji Nagar,39
Super built-up  Area,Ready To Move,2 BHK,Exncene,1380,2,1,Shukrawar Peth,60
Super built-up  Area,Ready To Move,4 BHK,Prersis,2483,5,2,Sinhagad Road,212
Built-up  Area,Ready To Move,2 BHK,Shyas S,1166,2,2,Somwar Peth,55
Super built-up  Area,Ready To Move,2 BHK,NadelCi,1050,2,1,Swargate,65
Super built-up  Area,19-Mar,3 BHK,Sothadr,2023.71,3,2,Tilak Road,275
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1200,2,2,Uruli Devachi,46.8
Super built-up  Area,Ready To Move,3 BHK,Puarent,1600,2,1,Vadgaon Budruk,108
Super built-up  Area,Ready To Move,3 BHK,MaionPa,1935,3,2,Wadgaon Sheri,110
Super built-up  Area,18-May,1 BHK,Maian M,451,1,0,Viman Nagar,29.9
Super built-up  Area,Ready To Move,3 BHK,ShstaAl,1800,3,2,Vishrant Wadi,95
Super built-up  Area,18-May,3 BHK,Shard T,1400,3,0,Wagholi,77
Super built-up  Area,Ready To Move,3 BHK,SoitaCa,1801,3,2,Wakadewadi,115
Built-up  Area,Ready To Move,2 BHK,Neagar ,1451,2,,Wanowrie,90
Plot  Area,19-Jan,2 Bedroom,,1200,1,1,Warje,36
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1160,2,2,Yerawada,44
Built-up  Area,Ready To Move,2 BHK,,1000,2,1,Alandi Road,25
Super built-up  Area,Ready To Move,2 BHK,Wiowsri,950,2,1,Ambegaon Budruk,40
Built-up  Area,20-Dec,3 BHK,,1629,3,2,Anandnagar,79
Built-up  Area,Ready To Move,3 BHK,,1580,2,0,Aundh,134
Super built-up  Area,21-Jun,3 BHK,Saityat,1826,3,2,Aundh Road,121
Built-up  Area,Ready To Move,2 BHK,Eladero,1245,2,1,Balaji Nagar,94
Super built-up  Area,Ready To Move,2 BHK,Lancyey,1145,2,2,Baner,45.79
Super built-up  Area,Ready To Move,2 BHK,Suiseit,825,2,1,Baner road,33
Super built-up  Area,18-Aug,3 BHK,Aroomba,1693,3,3,Bhandarkar Road,108
Super built-up  Area,Ready To Move,2 BHK,Courf T,1113.27,2,2,Bhavani Peth,53
Built-up  Area,Ready To Move,2 BHK,VMowsea,1460,2,1,Bibvewadi,58
Built-up  Area,Ready To Move,2 BHK,S onsMa,1050,2,1,Bopodi,32
Built-up  Area,Ready To Move,2 BHK,Tuentpa,1260,2,2,Budhwar Peth,55
Super built-up  Area,Ready To Move,6 BHK,,700,3,,Bund Garden Road,120
Built-up  Area,Ready To Move,2 BHK,Tovesee,1656,2,1,Camp,120
Super built-up  Area,Ready To Move,3 BHK,Vailsaf,1208,3,1,Chandan Nagar,45
Super built-up  Area,Ready To Move,3 BHK,BrlisCo,1910,3,2,Dapodi,161
Super built-up  Area,Ready To Move,4 BHK,Haestt ,3252,4,1,Deccan Gymkhana,230
Plot  Area,Ready To Move,2 Bedroom,,1200,2,1,Dehu Road,65
Super built-up  Area,Ready To Move,4 BHK,,1200,4,1,Dhankawadi,175
Super built-up  Area,Ready To Move,2 BHK,BriumMi,1175,2,1,Dhayari Phata,82
Plot  Area,Ready To Move,2 Bedroom,,1000,2,0,Dhole Patil Road,165
Plot  Area,Ready To Move,4 Bedroom,,1200,2,0,Erandwane,125
Super built-up  Area,Ready To Move,3 BHK,PhestOn,2390,3,2,Fatima Nagar,410
Super built-up  Area,19-Jan,7 BHK,,12000,6,3,Fergusson College Road,2200
Plot  Area,Ready To Move,2 Bedroom,,550,1,1,Ganesh Peth,62
Super built-up  Area,Ready To Move,1 BHK,,34.46Sq. Meter,1,0,Ganeshkhind,18.5
Super built-up  Area,Ready To Move,2 BHK,Hoxiaa ,1185,2,,Ghorpade Peth,38
Super built-up  Area,Ready To Move,2 BHK,VBvenal,750,2,1,Ghorpadi,38
Plot  Area,Ready To Move,6 Bedroom,,1200,7,3,Gokhale Nagar,250
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1550,3,3,Gultekdi,64.5
Built-up  Area,Ready To Move,3 BHK,Hoeatan,1760,3,2,Guruwar peth,88
Super built-up  Area,Ready To Move,2 BHK,Asity S,1125,2,2,Hadapsar,62
Plot  Area,Ready To Move,3 Bedroom,,1350,3,2,Hadapsar Industrial Estate,150
Plot  Area,17-Dec,2 Bedroom,,1000,2,1,Hingne Khurd,55
Built-up  Area,18-Aug,2 BHK,,1090,2,2,Jangali Maharaj Road,31.48
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,Kalyani Nagar,60
Super built-up  Area,Ready To Move,3 BHK,PrityTr,1991,4,2,Karve Nagar,103
Super built-up  Area,18-Oct,2 BHK,DSoodil,1060,2,1,Karve Road,26.5
Super built-up  Area,Ready To Move,2 BHK,SJarkte,1105,2,1,Kasba Peth,75
Built-up  Area,Ready To Move,2 BHK,Dhgraas,985,2,2,Katraj,67
Plot  Area,Ready To Move,6 Bedroom,,1533,5,3,Khadaki,85
Super built-up  Area,17-Jul,3 BHK,HiqueMa,1590,3,2,Khadki,79
Super built-up  Area,Ready To Move,2 BHK,Srshq T,1120,2,2,Kharadi,55
Super built-up  Area,Ready To Move,2 BHK,SPontna,1069,2,1,Kondhwa,55
Super built-up  Area,Ready To Move,3 BHK,Prionad,1933,3,2,Kondhwa Budruk,140
Built-up  Area,16-Mar,2 BHK,PuendWe,1194,2,0,Kondhwa Khurd,69
Super built-up  Area,Ready To Move,2 BHK,Danna S,1150,2,3,Koregaon Park,69
Super built-up  Area,Ready To Move,2 BHK,,1240,2,2,Kothrud,47.12
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1419,2,2,Law College Road,48.1
Plot  Area,Ready To Move,8 Bedroom,,1200,8,,Laxmi Road,250
Super built-up  Area,Ready To Move,3 BHK,Bltonin,2150,4,,Lulla Nagar,240
Super built-up  Area,Ready To Move,3 BHK,MSanaer,1450,3,2,Mahatma Gandhi Road,55
Super built-up  Area,18-Jul,3 BHK,Plowsri,1630,3,2,Mangalwar peth,68.29
Super built-up  Area,Ready To Move,2 BHK,Tavenew,708,1,1,Manik Bagh,40
Plot  Area,Ready To Move,3 Bedroom,,1000,4,3,Market yard,110
Plot  Area,Ready To Move,4 Bedroom,,11890,4,3,Model colony,700
Super built-up  Area,Ready To Move,2 BHK,Ocavees,1250,2,1,Mukund Nagar,76
Super built-up  Area,Ready To Move,3 BHK,Brnia G,1400,2,1,Mundhawa,95
Super built-up  Area,Ready To Move,3 BHK,,1670,2,3,Nagar Road,57
Super built-up  Area,Ready To Move,3 BHK,SoystAm,1750,3,2,Nana Peth,100
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1404,2,1,Narayan Peth,71
Super built-up  Area,Ready To Move,3 BHK,SMaxyay,1715,2,2,Narayangaon,95
Built-up  Area,18-Apr,1 BHK,Prarkun,630,1,1,Navi Peth,34.65
Super built-up  Area,Ready To Move,3 BHK,SosicCl,1752.12,3,2,Padmavati,135
Super built-up  Area,Ready To Move,3 BHK,,1650,3,2,Parvati Darshan,78
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1295,2,1,Pashan,55.47
Plot  Area,Ready To Move,3 Bedroom,Bancyri,1800,3,2,Paud Road,252
Super built-up  Area,18-Sep,2 BHK,PualeSk,1346,2,1,Pirangut,74.03
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,Prabhat Road,200
Super built-up  Area,Ready To Move,2 BHK,ElavuHo,1150,2,2,Pune Railway Station,55
Built-up  Area,Ready To Move,4 Bedroom,Gontyol,3309,4,3,Rasta Peth,325
Super built-up  Area,18-May,3 BHK,SunceEs,1190,2,2,Raviwar Peth,30.35
Super built-up  Area,Ready To Move,3 BHK,DSutyng,1620,3,2,Sadashiv Peth,98
Super built-up  Area,18-Apr,2 BHK,,950,2,1,Sahakar Nagar,46.96
Super built-up  Area,Ready To Move,11 BHK,Bancyri,5000,9,3,Salunke Vihar,360
Super built-up  Area,Ready To Move,3 BHK,SrEndPo,2450,3,0,Sasson Road,120
Super built-up  Area,18-May,3 BHK,Sryalan,1220,2,1,Satara Road,35.23
Super built-up  Area,Ready To Move,2 BHK,RKntsrt,850,2,1,Senapati Bapat Road,30
Built-up  Area,Ready To Move,2 BHK,,1020,2,2,Shaniwar Peth,63
Built-up  Area,Ready To Move,2 BHK,,1100,2,2,Shivaji Nagar,50
Super built-up  Area,Ready To Move,2 BHK,Vantspa,1150,2,2,Shukrawar Peth,126
Super built-up  Area,18-Dec,3 BHK,Mahosya,1760,2,2,Sinhagad Road,130
Super built-up  Area,Ready To Move,3 BHK,,1800,3,3,Somwar Peth,110
Super built-up  Area,Ready To Move,2 BHK,,1070,2,1,Swargate,54
Plot  Area,Ready To Move,4 Bedroom,,1500,4,2,Tilak Road,220
Plot  Area,Ready To Move,2 Bedroom,,1440,2,0,Uruli Devachi,95
Super built-up  Area,Ready To Move,2 BHK,Prowsi ,900,2,1,Vadgaon Budruk,40
Built-up  Area,Ready To Move,4 BHK,,1200,4,1,Wadgaon Sheri,230
Super built-up  Area,18-May,2 BHK,SMuilan,1130,2,1,Viman Nagar,42.16
Super built-up  Area,Ready To Move,2 BHK,Proodt ,1320,2,1,Vishrant Wadi,165
Super built-up  Area,19-Jun,2 BHK,,1270,2,1,Wagholi,98
Built-up  Area,Ready To Move,2 BHK,Sryamar,1200,2,1,Wakadewadi,62
Super built-up  Area,Ready To Move,4 BHK,,4800,4,,Wanowrie,235
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,Warje,74
Super built-up  Area,Ready To Move,2 BHK,Prldsri,929,2,0,Yerawada,50.17
Built-up  Area,Ready To Move,4 BHK,LiaveEn,1150,4,2,Alandi Road,260
Plot  Area,Ready To Move,4 Bedroom,,1125,4,3,Ambegaon Budruk,180
Plot  Area,Ready To Move,5 Bedroom,,500,3,2,Anandnagar,65
Plot  Area,Ready To Move,5 Bedroom,Bemesrm,1200,5,2,Aundh,190
Super built-up  Area,Ready To Move,3 BHK,,1464,3,2,Aundh Road,56
Super built-up  Area,Ready To Move,4 BHK,,3600,4,3,Balaji Nagar,400
Plot  Area,Ready To Move,4 Bedroom,,2000,4,2,Baner,99
Super built-up  Area,Ready To Move,2 BHK,,1208,2,1,Baner road,49
Super built-up  Area,Ready To Move,2 BHK,Vrensn ,1130,2,2,Bhandarkar Road,60
Super built-up  Area,Ready To Move,3 BHK,VDdonel,1753,3,2,Bhavani Peth,120
Super built-up  Area,Ready To Move,5 BHK,Brica E,4500,7,3,Bibvewadi,337
Plot  Area,Ready To Move,3 Bedroom,,600,3,2,Bopodi,58
Super built-up  Area,22-Jun,2 BHK,GoAirej,1196,2,2,Budhwar Peth,94.42
Built-up  Area,Ready To Move,2 BHK,Prenty ,1150,3,3,Bund Garden Road,52.5
Super built-up  Area,18-Apr,2 BHK,Prarkun,1128,2,1,Camp,63
Super built-up  Area,Ready To Move,2 BHK,Shinei ,1000,2,1,Chandan Nagar,53
Super built-up  Area,Ready To Move,2 BHK,Apows M,1035,2,1,Dapodi,45
Built-up  Area,Ready To Move,2 BHK,,950,2,1,Deccan Gymkhana,32
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2,1,Dehu Road,36
Super built-up  Area,Ready To Move,2 BHK,SVineun,1040,2,1,Dhankawadi,48.5
Plot  Area,17-Oct,2 Bedroom,,720,2,1,Dhayari Phata,45
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1511,3,1,Dhole Patil Road,95
Built-up  Area,Ready To Move,3 BHK,,1300,3,1,Erandwane,58
Super built-up  Area,19-Dec,3 BHK,Caycend,1545,3,1,Fatima Nagar,68.75
Built-up  Area,Ready To Move,1 BHK,,375,2,0,Fergusson College Road,26
Super built-up  Area,Ready To Move,2 BHK,,1062,2,3,Ganesh Peth,38
Super built-up  Area,Ready To Move,2 BHK,,1115,2,1,Ganeshkhind,40
Super built-up  Area,Ready To Move,2 BHK,DSvvyx ,1000,2,1,Ghorpade Peth,35
Super built-up  Area,17-May,2 BHK,Prrtht ,883,2,1,Ghorpadi,45
Super built-up  Area,19-Apr,2 BHK,Brareio,1195,2,1,Gokhale Nagar,70
Plot  Area,Ready To Move,4 Bedroom,,1200,3,1,Gultekdi,165
Built-up  Area,Ready To Move,1 Bedroom,,700,1,0,Guruwar peth,41
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1246,2,1,Hadapsar,67
Plot  Area,Ready To Move,4 Bedroom,,660,4,2,Hadapsar Industrial Estate,90
Plot  Area,Ready To Move,4 Bedroom,,8500,4,2,Hingne Khurd,145
Super built-up  Area,Ready To Move,4 BHK,,1600,4,1,Jangali Maharaj Road,80
Super built-up  Area,18-Dec,4 BHK,SNnia E,2805,5,3,Kalyani Nagar,154
Super built-up  Area,Ready To Move,3 BHK,,1584,3,,Karve Nagar,65
Plot  Area,Ready To Move,4 Bedroom,,3000,5,1,Karve Road,275
Built-up  Area,Ready To Move,3 BHK,,1175,2,2,Kasba Peth,48
Built-up  Area,19-Jul,3 BHK,,1595,3,2,Katraj,115
Super built-up  Area,Ready To Move,2 BHK,OlarkLa,1353,2,2,Khadaki,110
Super built-up  Area,18-Apr,3 BHK,Prarkun,1599,3,2,Khadki,125
Super built-up  Area,Ready To Move,2 BHK,SuMTBPr,1150,2,1,Kharadi,70
Super built-up  Area,17-Dec,4 BHK,Lecco C,5230,6,1,Kondhwa,465
Super built-up  Area,Ready To Move,2 BHK,Jahidva,1155,2,2,Kondhwa Budruk,42.74
Built-up  Area,Ready To Move,1 BHK,,1200,2,0,Kondhwa Khurd,85
Super built-up  Area,18-Jul,2 BHK,,1000,2,1,Koregaon Park,25
Super built-up  Area,Ready To Move,4 BHK,,3000,4,,Kothrud,120
Built-up  Area,Ready To Move,3 BHK,PuoodSk,1867,3,1,Law College Road,160
Super built-up  Area,18-Jun,2 BHK,ViistLa,1251,2,1,Laxmi Road,47
Super built-up  Area,18-Apr,2 BHK,Arano M,1028,2,1,Lulla Nagar,45.5
Super built-up  Area,Ready To Move,2 BHK,Amngsag,1222,2,2,Mahatma Gandhi Road,45
Super built-up  Area,Ready To Move,3 BHK,SNity S,1170,2,1,Mangalwar peth,66
Super built-up  Area,Ready To Move,3 BHK,Kacesh ,2400,4,1,Manik Bagh,245
Super built-up  Area,Ready To Move,3 BHK,,1385,2,2,Market yard,48.48
Super built-up  Area,Ready To Move,2 BHK,SrisePo,1372,2,1,Model colony,68
Super built-up  Area,Ready To Move,3 BHK,Bilya A,1282,2,2,Mukund Nagar,49
Super built-up  Area,Ready To Move,9 BHK,Amsomun,5000,9,3,Mundhawa,210
Built-up  Area,Ready To Move,5 Bedroom,,3000,3,1,Nagar Road,528
Super built-up  Area,Ready To Move,2 BHK,Shdhia ,1135,2,1,Nana Peth,39.73
Built-up  Area,20-Dec,3 BHK,,1768,3,2,Narayan Peth,101
Built-up  Area,Ready To Move,3 BHK,Foconna,1325,2,1,Narayangaon,90
Super built-up  Area,18-Apr,3 BHK,Prarkun,1599,3,2,Navi Peth,99
Plot  Area,18-Mar,3 Bedroom,,1500,3,1,Padmavati,61.95
Plot  Area,Ready To Move,3 Bedroom,,2610,3,0,Parvati Darshan,499
Super built-up  Area,Ready To Move,2 BHK,,1286,2,2,Pashan,63
Built-up  Area,Ready To Move,5 BHK,,2845,5,1,Paud Road,140
Super built-up  Area,Ready To Move,3 BHK,Aincy R,1600,2,,Pirangut,50
Super built-up  Area,18-Sep,2 BHK,Shxorm ,1195 - 1440,2,0,Prabhat Road,63.77
Super built-up  Area,Ready To Move,3 BHK,Brium C,3450,5,2,Pune Railway Station,260
Super built-up  Area,18-Apr,2 BHK,Sadhii ,1102,2,2,Rasta Peth,53.67
Super built-up  Area,Ready To Move,2 BHK,Sahanra,1350,2,2,Raviwar Peth,54
Super built-up  Area,Ready To Move,3 BHK,,1200,2,2,Sadashiv Peth,42
Plot  Area,Ready To Move,6 Bedroom,,1300,6,0,Sahakar Nagar,145
Plot  Area,Ready To Move,2 Bedroom,,1800,1,1,Salunke Vihar,80
Built-up  Area,Ready To Move,2 BHK,,950,2,1,Sasson Road,40
Super built-up  Area,21-Dec,1 BHK,PrarePa,525,1,1,Satara Road,27.25
Built-up  Area,Ready To Move,2 BHK,Jae 2hu,656,2,1,Senapati Bapat Road,25
Plot  Area,Ready To Move,4 Bedroom,,1780,4,3,Shaniwar Peth,175
Super built-up  Area,Ready To Move,2 BHK,Icncy R,1056,2,1,Shivaji Nagar,80
Super built-up  Area,21-Feb,1 BHK,Hiatei ,595,1,1,Shukrawar Peth,33.32
Built-up  Area,Ready To Move,2 BHK,,1080,2,2,Sinhagad Road,50
Super built-up  Area,19-Dec,3 BHK,Puarero,2225,3,1,Somwar Peth,160
Super built-up  Area,18-Aug,2 BHK,DSoodil,1126,2,1,Swargate,28.15
Super built-up  Area,Ready To Move,3 BHK,GaicaVe,1490,3,1,Tilak Road,84
Plot  Area,Ready To Move,4 Bedroom,,2000,4,1,Uruli Devachi,300
Super built-up  Area,Ready To Move,3 BHK,PuineSu,1550,3,3,Vadgaon Budruk,100
Super built-up  Area,Ready To Move,3 BHK,Grare S,1600,3,2,Wadgaon Sheri,86
Built-up  Area,Ready To Move,2 BHK,,1160,2,1,Viman Nagar,55
Built-up  Area,Ready To Move,4 Bedroom,PrOakSi,4144,4,3,Vishrant Wadi,315
Super built-up  Area,Ready To Move,3 BHK,Supleon,2100,3,2,Wagholi,125
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1404,2,1,Wakadewadi,69.3
Plot  Area,Ready To Move,4 Bedroom,LGestbo,2230,4,3,Wanowrie,225
Super built-up  Area,Ready To Move,3 BHK,,1544,3,,Warje,120
Super built-up  Area,18-May,3 BHK,Pridsi ,1305,2,1,Yerawada,58.7
Super built-up  Area,Ready To Move,2 BHK,Aahts H,1230,2,2,Alandi Road,80
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,Ambegaon Budruk,65
Super built-up  Area,Ready To Move,3 BHK,,1460,3,1,Anandnagar,73
Plot  Area,Immediate Possession,,Asiss B,1200 - 2400,,,Aundh,34.185
Built-up  Area,Ready To Move,2 BHK,,967,2,3,Aundh Road,45
Built-up  Area,Ready To Move,1 Bedroom,,540,1,1,Balaji Nagar,36
Super built-up  Area,19-Dec,1 BHK,Kolisl ,715,1,2,Baner,46
Super built-up  Area,Ready To Move,3 BHK,Toindls,2500,3,2,Baner road,313
Super built-up  Area,Ready To Move,3 BHK,Puceswn,1578,3,1,Bhandarkar Road,180
Super built-up  Area,Ready To Move,2 BHK,,1020,2,1,Bhavani Peth,48.95
Super built-up  Area,Ready To Move,2 BHK,i1odsne,1020,2,1,Bibvewadi,40
Super built-up  Area,Ready To Move,2 BHK,Ansna K,1253,2,1,Bopodi,102
Super built-up  Area,Ready To Move,2 BHK,ARnamru,1180,2,2,Budhwar Peth,42
Super built-up  Area,Ready To Move,2 BHK,Veyalin,961,2,2,Bund Garden Road,38
Built-up  Area,Ready To Move,3 BHK,,1419,3,3,Camp,75
Super built-up  Area,Ready To Move,3 BHK,SomonCi,1709,3,2,Chandan Nagar,150
Plot  Area,Ready To Move,2 Bedroom,,1600,2,0,Dapodi,115
Super built-up  Area,18-Jul,1 BHK,,416,1,1,Deccan Gymkhana,18.5
Carpet  Area,Ready To Move,2 BHK,,1100,2,2,Dehu Road,98
Super built-up  Area,Ready To Move,3 BHK,,1430,2,1,Dhankawadi,65
Super built-up  Area,Ready To Move,2 BHK,Daill S,1260,2,2,Dhayari Phata,45
Built-up  Area,Ready To Move,3 BHK,DSureSi,1630,3,2,Dhole Patil Road,85
Super built-up  Area,19-May,3 BHK,Soini T,1249,3,2,Erandwane,44.71
Super built-up  Area,Ready To Move,3 BHK,MancyRe,1450,2,3,Fatima Nagar,85
Super built-up  Area,17-Nov,3 BHK,Prasa W,2791,3,1,Fergusson College Road,223
Super built-up  Area,Ready To Move,1 BHK,,600,1,0,Ganesh Peth,90
Built-up  Area,Ready To Move,1 BHK,Kaantth,834,1,1,Ganeshkhind,60
Plot  Area,Ready To Move,3 Bedroom,,1125,4,1,Ghorpade Peth,70
Super built-up  Area,Ready To Move,3 BHK,,2060,3,2,Ghorpadi,140
Super built-up  Area,19-Jan,7 BHK,,12000,7,3,Gokhale Nagar,2200
Built-up  Area,Ready To Move,2 BHK,Drente ,891,2,1,Gultekdi,25
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1133,2,1,Guruwar peth,49.07
Built-up  Area,Ready To Move,3 BHK,Prityel,1075,2,1,Hadapsar,37
Super built-up  Area,18-May,4 BHK,,3000,5,2,Hadapsar Industrial Estate,260
Plot  Area,Ready To Move,4 Bedroom,,2440,5,2,Hingne Khurd,425
Built-up  Area,Ready To Move,2 BHK,,1200,2,2,Jangali Maharaj Road,55
Super built-up  Area,Ready To Move,2 BHK,,1075,2,2,Kalyani Nagar,45.8
Super built-up  Area,Ready To Move,2 BHK,,1140,2,2,Karve Nagar,40
Plot  Area,Ready To Move,5 Bedroom,,940,4,2,Karve Road,150
Plot  Area,Ready To Move,6 Bedroom,,2160,5,1,Kasba Peth,250
Super built-up  Area,Ready To Move,2 BHK,SGandea,1090,2,1,Katraj,42
Built-up  Area,Ready To Move,4 Bedroom,,1500,4,1,Khadaki,70
Super built-up  Area,Ready To Move,4 BHK,,4104,4,2,Khadki,360
Super built-up  Area,Ready To Move,3 BHK,,1790,3,,Kharadi,100
Super built-up  Area,18-Dec,3 BHK,Mahosya,1920,3,2,Kondhwa,134
Built-up  Area,Ready To Move,2 BHK,Eline P,1374,2,2,Kondhwa Budruk,95
Carpet  Area,Ready To Move,3 BHK,,1445,3,2,Kondhwa Khurd,95
Super built-up  Area,19-Dec,1 BHK,GoityEt,711,1,1,Koregaon Park,36
Super built-up  Area,Ready To Move,3 BHK,SosonGa,1500,3,3,Kothrud,95
Super built-up  Area,Ready To Move,3 BHK,Gotis A,1720,3,3,Law College Road,100
Super built-up  Area,Ready To Move,3 BHK,,1400,3,2,Laxmi Road,60
Built-up  Area,Ready To Move,2 BHK,,1030,2,2,Lulla Nagar,49
Super built-up  Area,Ready To Move,2 BHK,PrntaEn,1200,2,1,Mahatma Gandhi Road,85
Carpet  Area,18-Jul,3 BHK,NSezeBr,1375,3,2,Mangalwar peth,70
Plot  Area,Ready To Move,2 Bedroom,,1050,1,,Manik Bagh,56
Super built-up  Area,Ready To Move,3 BHK,Tahtsla,2250,3,2,Market yard,160
Super built-up  Area,Ready To Move,2 BHK,Sronda ,1000,2,2,Model colony,50
Super built-up  Area,Ready To Move,1 BHK,Prntsax,469,1,0,Mukund Nagar,25
Super built-up  Area,Ready To Move,4 BHK,PueraRi,3800,4,3,Mundhawa,250
Super built-up  Area,Ready To Move,2 BHK,Prrtht ,883,2,1,Nagar Road,29
Super built-up  Area,Ready To Move,3 BHK,Chnts A,1820,2,3,Nana Peth,86
Built-up  Area,Ready To Move,3 BHK,,1440,2,3,Narayan Peth,65
Super built-up  Area,Ready To Move,6 BHK,,3600,4,1,Narayangaon,160
Built-up  Area,Ready To Move,4 BHK,GaityEt,2500,5,2,Navi Peth,325
Super built-up  Area,18-Aug,2 BHK,,1225,2,2,Padmavati,48
Plot  Area,Ready To Move,3 Bedroom,,4000,3,1,Parvati Darshan,660
Carpet  Area,Ready To Move,2 BHK,,875,2,3,Pashan,52.8
Super built-up  Area,Ready To Move,1 BHK,ShshaSa,750,1,2,Paud Road,40
Super built-up  Area,Ready To Move,2 BHK,,1180,2,3,Pirangut,80
Super built-up  Area,Ready To Move,2 BHK,,1194,2,2,Prabhat Road,47
Super built-up  Area,Ready To Move,3 BHK,,1500,2,2,Pune Railway Station,62
Super built-up  Area,Ready To Move,2 BHK,,1160,2,2,Rasta Peth,52.2
Built-up  Area,Ready To Move,9 Bedroom,,4125Perch,9,,Raviwar Peth,265
